month,level_1,value
1970-12,All Items,27.263
1970-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-12,All Items Less Accommodation,na
1971-01,All Items,28.068
1971-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-01,All Items Less Accommodation,na
1971-02,All Items,27.573
1971-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-02,All Items Less Accommodation,na
1971-03,All Items,27.444
1971-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-03,All Items Less Accommodation,na
1971-04,All Items,27.116
1971-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-04,All Items Less Accommodation,na
1971-05,All Items,27.405
1971-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-05,All Items Less Accommodation,na
1971-06,All Items,27.482
1971-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-06,All Items Less Accommodation,na
1971-07,All Items,27.624
1971-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-07,All Items Less Accommodation,na
1971-08,All Items,27.49
1971-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-08,All Items Less Accommodation,na
1971-09,All Items,27.701
1971-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-09,All Items Less Accommodation,na
1971-10,All Items,27.536
1971-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-10,All Items Less Accommodation,na
1971-11,All Items,27.691
1971-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-11,All Items Less Accommodation,na
1971-12,All Items,27.942
1971-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-12,All Items Less Accommodation,na
1972-01,All Items,27.979
1972-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-01,All Items Less Accommodation,na
1972-02,All Items,27.97
1972-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-02,All Items Less Accommodation,na
1972-03,All Items,27.916
1972-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-03,All Items Less Accommodation,na
1972-04,All Items,27.594
1972-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-04,All Items Less Accommodation,na
1972-05,All Items,27.703
1972-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-05,All Items Less Accommodation,na
1972-06,All Items,27.8
1972-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-06,All Items Less Accommodation,na
1972-07,All Items,27.968
1972-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-07,All Items Less Accommodation,na
1972-08,All Items,28.215
1972-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-08,All Items Less Accommodation,na
1972-09,All Items,28.415
1972-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-09,All Items Less Accommodation,na
1972-10,All Items,28.372
1972-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-10,All Items Less Accommodation,na
1972-11,All Items,28.648
1972-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-11,All Items Less Accommodation,na
1972-12,All Items,29.583
1972-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-12,All Items Less Accommodation,na
1973-01,All Items,29.496
1973-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-01,All Items Less Accommodation,na
1973-02,All Items,30.515
1973-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-02,All Items Less Accommodation,na
1973-03,All Items,30.634
1973-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-03,All Items Less Accommodation,na
1973-04,All Items,30.833
1973-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-04,All Items Less Accommodation,na
1973-05,All Items,32.203
1973-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-05,All Items Less Accommodation,na
1973-06,All Items,33.282
1973-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-06,All Items Less Accommodation,na
1973-07,All Items,34.865
1973-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-07,All Items Less Accommodation,na
1973-08,All Items,35.261
1973-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-08,All Items Less Accommodation,na
1973-09,All Items,35.268
1973-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-09,All Items Less Accommodation,na
1973-10,All Items,36.469
1973-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-10,All Items Less Accommodation,na
1973-11,All Items,38.039
1973-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-11,All Items Less Accommodation,na
1973-12,All Items,37.635
1973-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-12,All Items Less Accommodation,na
1974-01,All Items,39.274
1974-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-01,All Items Less Accommodation,na
1974-02,All Items,40.427
1974-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-02,All Items Less Accommodation,na
1974-03,All Items,41.132
1974-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-03,All Items Less Accommodation,na
1974-04,All Items,40.674
1974-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-04,All Items Less Accommodation,na
1974-05,All Items,40.702
1974-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-05,All Items Less Accommodation,na
1974-06,All Items,40.858
1974-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-06,All Items Less Accommodation,na
1974-07,All Items,41.177
1974-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-07,All Items Less Accommodation,na
1974-08,All Items,41.456
1974-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-08,All Items Less Accommodation,na
1974-09,All Items,41.898
1974-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-09,All Items Less Accommodation,na
1974-10,All Items,42.287
1974-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-10,All Items Less Accommodation,na
1974-11,All Items,42.382
1974-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-11,All Items Less Accommodation,na
1974-12,All Items,42.702
1974-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-12,All Items Less Accommodation,na
1975-01,All Items,42.893
1975-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1975-01,All Items Less Accommodation,na
1975-02,All Items,42.978
1975-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1975-02,All Items Less Accommodation,na
1975-03,All Items,42.158
1975-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1975-03,All Items Less Accommodation,na
1975-04,All Items,41.87
1975-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1975-04,All Items Less Accommodation,na
1975-05,All Items,42.035
1975-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1975-05,All Items Less Accommodation,na
1975-06,All Items,42.156
1975-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1975-06,All Items Less Accommodation,na
1975-07,All Items,42.268
1975-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1975-07,All Items Less Accommodation,na
1975-08,All Items,42.444
1975-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1975-08,All Items Less Accommodation,na
1975-09,All Items,42.457
1975-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1975-09,All Items Less Accommodation,na
1975-10,All Items,42.041
1975-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1975-10,All Items Less Accommodation,na
1975-11,All Items,42.126
1975-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1975-11,All Items Less Accommodation,na
1975-12,All Items,42.302
1975-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1975-12,All Items Less Accommodation,na
1976-01,All Items,42.288
1976-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
